"","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year"
"1","Q1",100012073,1988-01-05,0.76,132,2.66,4.06,19,1988
"2","Q2",100013073,1988-01-05,0.77,255,2.57,5.01,18,1988
"3","Q3",100014069,1988-01-05,0.68,142,2.69,3.7,12,1988
"4","Q1",100012074,1988-01-12,0.77,134,2.61,4.08,18,1988
"5","Q2",100013074,1988-01-12,0.77,233,2.54,5.27,11,1988
"6","Q3",100014070,1988-01-12,0.66,181,2.55,3.6,9,1988
"7","Q1",100012075,1988-01-19,0.75,125,2.67,4.16,21,1988
"8","Q2",100013075,1988-01-19,0.74,221,2.61,5.28,18,1988
"9","Q3",100014071,1988-01-19,0.66,157,2.69,3.65,17,1988
"10","Q1",100012076,1988-01-26,0.74,123,2.85,4.41,14,1988
"11","Q2",100013076,1988-01-26,0.71,195,2.74,5.52,17,1988
"12","Q3",100014072,1988-01-26,0.72,157,3.04,4.17,31,1988
"13","Q1",100012077,1988-01-29,0.86,77,1.48,2.4,21,1988
"14","Q1",100012078,1988-01-29,0.83,81,1.35,2.06,31,1988
"15","Q1",100012079,1988-01-29,0.91,281,1.64,2.65,27,1988
"16","Q1",100012080,1988-01-29,0.84,267,1.41,2.63,24,1988
"17","Q1",100012081,1988-01-29,0.86,242,1.59,2.67,21,1988
"18","Q2",100013078,1988-01-29,0.87,183,1.86,4.05,14,1988
"19","Q2",100013080,1988-01-29,1.12,306,1.59,3.66,12,1988
"20","Q2",100013083,1988-01-29,0.99,364,1.58,3.75,31,1988
"21","Q2",100013081,1988-01-29,1.1,333,1.5,3.45,12,1988
"22","Q2",100013079,1988-01-29,1.03,268,1.74,3.96,14,1988
"23","Q2",100013077,1988-01-29,0.84,NA,1.94,4.07,41,1988
"24","Q2",100013082,1988-01-29,0.98,331,1.53,3.54,23,1988
"25","Q2",100130771,1988-01-29,0.84,NA,1.98,4.07,7,1988
"26","Q3",100014077,1988-01-29,0.82,209,2.18,3.19,47,1988
"27","Q3",100014078,1988-01-29,0.72,183,2.18,3.11,41,1988
"28","Q3",100014076,1988-01-29,0.85,167,2.13,3.03,24,1988
"29","Q3",100014075,1988-01-29,0.82,141,2.09,2.93,34,1988
"30","Q3",100014074,1988-01-29,NA,209,NA,NA,72,1988
"31","Q3",100014073,1988-01-29,NA,NA,NA,NA,75,1988
"32","Q3",100014079,1988-01-29,0.78,207,2.24,3.2,52,1988
"33","Q1",100012082,1988-02-02,0.76,138,1.71,2.78,80,1988
"34","Q1",100012083,1988-02-02,0.79,168,1.62,2.57,17,1988
"35","Q2",100013085,1988-02-02,0.9,223,1.64,3.6,12,1988
"36","Q2",100013084,1988-02-02,0.81,153,1.77,4.02,30,1988
"37","Q3",100014081,1988-02-02,0.76,146,1.96,2.93,15,1988
"38","Q3",100014080,1988-02-02,0.71,32,2.2,3.11,55,1988
"39","Q1",100012085,1988-02-03,NA,NA,NA,NA,NA,1988
"40","Q2",100013086,1988-02-03,0.91,282,2.48,5.42,16,1988
"41","Q3",100014083,1988-02-03,NA,NA,NA,NA,NA,1988
"42","Q1",100012086,1988-02-04,NA,NA,NA,NA,NA,1988
"43","Q2",100013087,1988-02-04,NA,NA,NA,NA,NA,1988
"44","Q3",100014084,1988-02-04,NA,NA,NA,NA,NA,1988
"45","Q1",100012084,1988-02-09,0.8,149,2.73,4.09,54,1988
"46","Q2",100013088,1988-02-09,NA,NA,NA,NA,NA,1988
"47","Q3",100014082,1988-02-09,0.71,170,3.71,2.71,26,1988
"48","Q1",100012087,1988-02-10,NA,NA,NA,NA,NA,1988
"49","Q2",100013089,1988-02-10,NA,NA,NA,NA,NA,1988
"50","Q3",100014085,1988-02-10,NA,NA,NA,NA,NA,1988
"51","Q1",100012088,1988-02-16,0.77,113,2.67,4.04,20,1988
"52","Q2",100013090,1988-02-16,0.64,31,2.45,4.51,19,1988
"53","Q3",100014086,1988-02-16,0.68,146,2.65,3.84,16,1988
"54","Q1",100012089,1988-02-23,0.85,152,2.94,4.39,28,1988
"55","Q2",100013091,1988-02-23,0.82,231,2.73,5.15,19,1988
"56","Q3",100014087,1988-02-23,0.68,204,3.01,3.85,23,1988
"57","Q1",100012090,1988-03-01,0.81,144,2.96,4.31,18,1988
"58","Q2",100013092,1988-03-01,0.77,218,2.73,5.15,19,1988
"59","Q3",100014088,1988-03-01,0.67,196,3.02,3.91,15,1988
"60","Q1",100012091,1988-03-08,0.5,144,2.12,3.89,25,1988
"61","Q2",100013093,1988-03-08,0.7,209,2.56,4.91,27,1988
"62","Q3",100014089,1988-03-08,0.56,196,3,3.11,32,1988
"63","Q1",100012092,1988-03-15,0.7,148,2.72,4.02,34,1988
"64","Q2",100013094,1988-03-15,0.72,191,2.62,4.9,27,1988
