"","...1","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year","k_avg"
"1",1,"Q1",100012073,1988-01-05,0.76,132,2.66,4.06,19,1988,0.806363636363636
"2",2,"Q2",100013073,1988-01-05,0.77,255,2.57,5.01,18,1988,0.892
"3",3,"Q3",100014069,1988-01-05,0.68,142,2.69,3.7,12,1988,0.743636363636364
"4",4,"Q1",100012074,1988-01-12,0.77,134,2.61,4.08,18,1988,0.805833333333333
"5",5,"Q2",100013074,1988-01-12,0.77,233,2.54,5.27,11,1988,0.892
"6",6,"Q3",100014070,1988-01-12,0.66,181,2.55,3.6,9,1988,0.740833333333333
"7",7,"Q1",100012075,1988-01-19,0.75,125,2.67,4.16,21,1988,0.803076923076923
"8",8,"Q2",100013075,1988-01-19,0.74,221,2.61,5.28,18,1988,0.87625
"9",9,"Q3",100014071,1988-01-19,0.66,157,2.69,3.65,17,1988,0.736153846153846
"10",10,"Q1",100012076,1988-01-26,0.74,123,2.85,4.41,14,1988,0.806428571428571
"11",11,"Q2",100013076,1988-01-26,0.71,195,2.74,5.52,17,1988,0.872941176470588
"12",12,"Q3",100014072,1988-01-26,0.72,157,3.04,4.17,31,1988,0.732142857142857
"13",13,"Q1",100012077,1988-01-29,0.86,77,1.48,2.4,21,1988,0.806428571428571
"14",14,"Q1",100012078,1988-01-29,0.83,81,1.35,2.06,31,1988,0.806428571428571
"15",15,"Q1",100012079,1988-01-29,0.91,281,1.64,2.65,27,1988,0.806428571428571
"16",16,"Q1",100012080,1988-01-29,0.84,267,1.41,2.63,24,1988,0.806428571428571
"17",17,"Q1",100012081,1988-01-29,0.86,242,1.59,2.67,21,1988,0.806428571428571
"18",18,"Q2",100013078,1988-01-29,0.87,183,1.86,4.05,14,1988,0.872941176470588
"19",19,"Q2",100013080,1988-01-29,1.12,306,1.59,3.66,12,1988,0.872941176470588
"20",20,"Q2",100013083,1988-01-29,0.99,364,1.58,3.75,31,1988,0.872941176470588
"21",21,"Q2",100013081,1988-01-29,1.1,333,1.5,3.45,12,1988,0.872941176470588
"22",22,"Q2",100013079,1988-01-29,1.03,268,1.74,3.96,14,1988,0.872941176470588
"23",23,"Q2",100013077,1988-01-29,0.84,NA,1.94,4.07,41,1988,0.872941176470588
"24",24,"Q2",100013082,1988-01-29,0.98,331,1.53,3.54,23,1988,0.872941176470588
"25",25,"Q2",100130771,1988-01-29,0.84,NA,1.98,4.07,7,1988,0.872941176470588
"26",26,"Q3",100014077,1988-01-29,0.82,209,2.18,3.19,47,1988,0.732142857142857
"27",27,"Q3",100014078,1988-01-29,0.72,183,2.18,3.11,41,1988,0.732142857142857
"28",28,"Q3",100014076,1988-01-29,0.85,167,2.13,3.03,24,1988,0.732142857142857
"29",29,"Q3",100014075,1988-01-29,0.82,141,2.09,2.93,34,1988,0.732142857142857
"30",30,"Q3",100014074,1988-01-29,NA,209,NA,NA,72,1988,0.732142857142857
"31",31,"Q3",100014073,1988-01-29,NA,NA,NA,NA,75,1988,0.732142857142857
"32",32,"Q3",100014079,1988-01-29,0.78,207,2.24,3.2,52,1988,0.732142857142857
"33",33,"Q1",100012082,1988-02-02,0.76,138,1.71,2.78,80,1988,0.806666666666667
"34",34,"Q1",100012083,1988-02-02,0.79,168,1.62,2.57,17,1988,0.806666666666667
"35",35,"Q2",100013085,1988-02-02,0.9,223,1.64,3.6,12,1988,0.867222222222222
"36",36,"Q2",100013084,1988-02-02,0.81,153,1.77,4.02,30,1988,0.867222222222222
"37",37,"Q3",100014081,1988-02-02,0.76,146,1.96,2.93,15,1988,0.728
"38",38,"Q3",100014080,1988-02-02,0.71,32,2.2,3.11,55,1988,0.728
"39",39,"Q1",100012085,1988-02-03,NA,NA,NA,NA,NA,1988,0.806666666666667
"40",40,"Q2",100013086,1988-02-03,0.91,282,2.48,5.42,16,1988,0.867222222222222
"41",41,"Q3",100014083,1988-02-03,NA,NA,NA,NA,NA,1988,0.728
"42",42,"Q1",100012086,1988-02-04,NA,NA,NA,NA,NA,1988,0.806666666666667
"43",43,"Q2",100013087,1988-02-04,NA,NA,NA,NA,NA,1988,0.867222222222222
"44",44,"Q3",100014084,1988-02-04,NA,NA,NA,NA,NA,1988,0.728
"45",45,"Q1",100012084,1988-02-09,0.8,149,2.73,4.09,54,1988,0.789333333333333
